trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.4, 'e': 0.9790000000000023}",25,0,11.816462156857286,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
43,False,"{'a': 0.4, 'e': 0.9785000000000024}",20,0,25.99025514542574,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.4, 'e': 0.9780000000000024}",20,5,-16.478272649012556,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.4, 'e': 0.9775000000000025}",20,0,-16.15616718220731,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
46,False,"{'a': 0.4, 'e': 0.9770000000000025}",35,0,-5.29101266684418,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
47,False,"{'a': 0.4, 'e': 0.9765000000000026}",20,0,-48.34858376805492,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
48,False,"{'a': 0.4, 'e': 0.9760000000000026}",25,0,-81.00856396981305,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
49,False,"{'a': 0.4, 'e': 0.9755000000000027}",25,0,-10.795451329005202,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
50,False,"{'a': 0.4, 'e': 0.9750000000000028}",25,0,21.577759560910174,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
51,False,"{'a': 0.4, 'e': 0.9745000000000028}",30,0,-56.805124216523325,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
52,False,"{'a': 0.4, 'e': 0.9740000000000029}",20,0,4.924394679409122,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
53,False,"{'a': 0.4, 'e': 0.9735000000000029}",25,0,35.59839521730706,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.4, 'e': 0.973000000000003}",30,0,-2.7155086574810223,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
55,False,"{'a': 0.4, 'e': 0.972500000000003}",20,0,-30.76082282526071,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
56,False,"{'a': 0.4, 'e': 0.9720000000000031}",20,0,0.686415164458601,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
57,False,"{'a': 0.4, 'e': 0.9715000000000031}",30,0,37.41547785404715,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.4, 'e': 0.9710000000000032}",20,15,-4.790136811417117,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.4, 'e': 0.9705000000000032}",20,0,28.490891019163406,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.4, 'e': 0.9700000000000033}",25,0,-41.91052151753109,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
61,False,"{'a': 0.4, 'e': 0.9695000000000034}",20,0,-38.84363737971727,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
62,False,"{'a': 0.4, 'e': 0.9690000000000034}",30,17,6.424842499843394,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.4, 'e': 0.9685000000000035}",35,0,39.6003645280379,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.4, 'e': 0.9680000000000035}",20,0,10.858095719137612,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
65,False,"{'a': 0.4, 'e': 0.9675000000000036}",25,0,29.145140715722043,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.4, 'e': 0.9670000000000036}",20,0,20.455658745655178,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.4, 'e': 0.9665000000000037}",20,0,4.605157870092635,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
68,False,"{'a': 0.4, 'e': 0.9660000000000037}",25,0,28.364086615948665,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.4, 'e': 0.9655000000000038}",25,7,21.28422598667904,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.4, 'e': 0.9650000000000039}",20,0,20.527092131962572,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.4, 'e': 0.9645000000000039}",25,18,-9.266208134940227,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 0.4, 'e': 0.964000000000004}",30,0,3.8063242139810414,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
73,False,"{'a': 0.4, 'e': 0.963500000000004}",20,11,17.166184061657972,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.4, 'e': 0.9630000000000041}",25,0,-9.56070098571632,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
75,False,"{'a': 0.4, 'e': 0.9625000000000041}",25,10,0.10120528855418653,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
76,False,"{'a': 0.4, 'e': 0.9620000000000042}",20,0,25.073820795016246,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.4, 'e': 0.9615000000000042}",20,0,23.58293615511089,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
78,False,"{'a': 0.4, 'e': 0.9610000000000043}",20,0,17.692210542499335,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.4, 'e': 0.9605000000000044}",25,0,30.89090128398778,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.4, 'e': 0.9600000000000044}",20,9,23.02697904521207,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.4, 'e': 0.9595000000000045}",30,0,-20.45481066732471,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
82,False,"{'a': 0.4, 'e': 0.9590000000000045}",20,0,27.382909566525395,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.4, 'e': 0.9585000000000046}",30,0,35.65945333170729,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.4, 'e': 0.9580000000000046}",20,0,-7.62049780624559,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.4, 'e': 0.9575000000000047}",20,0,27.104426728120725,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.4, 'e': 0.9570000000000047}",25,0,30.25020958181928,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.4, 'e': 0.9565000000000048}",35,0,-4.643120360192596,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
88,False,"{'a': 0.4, 'e': 0.9560000000000048}",20,0,26.008424751088402,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.4, 'e': 0.9555000000000049}",25,0,23.059745152474143,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.4, 'e': 0.955000000000005}",25,14,15.39402655021193,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.4, 'e': 0.954500000000005}",20,0,6.571499917620895,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
92,False,"{'a': 0.4, 'e': 0.9540000000000051}",25,0,30.39953836578779,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.4, 'e': 0.9535000000000051}",30,0,20.41590494750697,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
94,False,"{'a': 0.4, 'e': 0.9530000000000052}",20,0,22.157547517208492,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.4, 'e': 0.9525000000000052}",25,0,24.487289079095667,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
96,False,"{'a': 0.4, 'e': 0.9520000000000053}",20,0,22.034700059211232,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.4, 'e': 0.9515000000000053}",25,0,-22.174565261306547,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
98,False,"{'a': 0.4, 'e': 0.9510000000000054}",30,0,38.660598929251556,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.4, 'e': 0.9505000000000055}",25,0,34.62452978354622,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
100,False,"{'a': 0.4, 'e': 0.9500000000000055}",20,8,19.940419735544022,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.4, 'e': 0.9495000000000056}",20,0,24.723740002384748,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
102,False,"{'a': 0.4, 'e': 0.9490000000000056}",30,20,-1.378993659605662,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
103,False,"{'a': 0.4, 'e': 0.9485000000000057}",20,0,19.90616006126738,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
104,False,"{'a': 0.4, 'e': 0.9480000000000057}",30,10,7.0556021567874065,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.4, 'e': 0.9475000000000058}",25,0,32.2943703086449,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.4, 'e': 0.9470000000000058}",35,15,31.5331897838905,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.4, 'e': 0.9465000000000059}",25,20,10.782910366401797,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.4, 'e': 0.946000000000006}",35,27,12.12960423781088,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.4, 'e': 0.945500000000006}",25,0,30.373095548572095,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.4, 'e': 0.9450000000000061}",20,4,22.307110001161043,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.4, 'e': 0.9445000000000061}",20,7,12.687682035186384,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.4, 'e': 0.9440000000000062}",20,0,-14.957203745236997,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
113,False,"{'a': 0.4, 'e': 0.9435000000000062}",20,0,22.42146645338965,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
114,False,"{'a': 0.4, 'e': 0.9430000000000063}",25,0,26.058042358718012,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.4, 'e': 0.9425000000000063}",30,19,19.16188990758323,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.4, 'e': 0.9420000000000064}",20,0,22.778283250295644,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
117,False,"{'a': 0.4, 'e': 0.9415000000000064}",25,16,14.402124723526738,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.4, 'e': 0.9410000000000065}",30,1,-39.51000479280597,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 2}",1
119,False,"{'a': 0.4, 'e': 0.9405000000000066}",20,6,-1.5190984314915958,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
120,False,"{'a': 0.4, 'e': 0.9400000000000066}",20,0,18.620716202964232,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.4, 'e': 0.9395000000000067}",20,7,17.36961410213887,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.4, 'e': 0.9390000000000067}",25,0,28.606159002822547,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
